,0
CITED2,0.007948515
HIST1H1C,0.0067797615
BNIP3L,0.0065929233
S100A11,0.006146483
TKT,0.0059625586
TMEM54,0.00564831
ITM2B,0.00559436
CARHSP1,0.005412164
HHEX,0.005410009
CAP1,0.0053685834
TMEM219,0.0053572156
ZNF431,0.005198437
MALAT1,0.0049280385
NEAT1,0.00488032
SERPINB1,0.00484211
TFRC,0.0047477596
KRT18,0.004704814
GATA2,0.004628225
AVP,0.004536595
MDH2,0.00450385
FCER1G,0.004480169
CCDC136,0.004425533
COLGALT2,0.0043381527
CENPU,0.0042603044
NFE2L2,0.00403593
LMO4,0.004035007
NFE2,0.004009823
ING2,0.003998194
HBA1,0.003962051
LINC01420,0.00391467
TSPYL1,0.0038538482
NHLRC3,0.0038426782
RP5-1171I10.5,0.0038002748
RPL22L1,0.003775733
MS4A3,0.0036974447
COL18A1,0.0036950032
MYO1F,0.0036116813
COMMD6,0.0036047369
SAT1,0.0035756186
PTPN12,0.0035480112
HIST1H4C,0.0035330711
TAX1BP1,0.0035328085
LIPH,0.0035218294
NPC2,0.003453046
PHB,0.0034513448
VIM,0.0033781542
PSMA4,0.0033273397
PLEK,0.0033090175
RPL7,0.0033068112
TUBB4B,0.0032927846
TLN1,0.0032742806
ISG15,0.0032523077
SUMF2,0.0031879586
MPC2,0.0031188033
TIMP1,0.003113497
CKS2,0.003038763
UFD1L,0.0030127838
RP11-301G19.1,0.002964234
CORO1A,0.002924182
MYH9,0.0028963415
AFMID,0.002891462
MMP24-AS1,0.0028741055
DHFR,0.0028618271
CEBPD,0.002844282
H1FX,0.0028436722
CEBPA,0.0028280409
PLPPR3,0.002803966
PPIB,0.002782801
GYPA,0.0027557968
CD99,0.0027489893
SLF2,0.002722783
HBA2,0.0027055803
PNISR,0.0026749484
PYCARD,0.0026647295
NPM1,0.0026449477
HIST2H2AC,0.0026144406
KIAA0101,0.0026138048
ATP6V0E1,0.002601114
CFD,0.002593239
HEPH,0.002589138
LBH,0.0025883894
ATF6B,0.002584955
TMSB4X,0.002573564
CA11,0.0025154809
TKFC,0.002467393
HBG2,0.002463988
BTG2,0.0024558622
IL6ST,0.002454379
C1orf56,0.002435364
ANKRD28,0.002421679
HELLS,0.0024178699
ORC6,0.0023983924
TYROBP,0.002394389
GOLIM4,0.00239112
BCYRN1,0.0023497855
MBD4,0.0023494002
FAM101B,0.002343398
ENO1,0.002339973
ANXA2,0.0023396981
PSMB6,0.0023317856
CLC,0.0023277733
APOC1,0.002296902
UBALD2,0.0022914042
CTSB,0.002286128
ZFP36L1,0.0022783529
CAPG,0.0022603136
WSB1,0.002250332
ATF7IP2,0.0022458476
ASRGL1,0.0022370992
ST6GALNAC1,0.0022249299
DST,0.0022226712
JUN,0.0022208025
DDIT3,0.0022077481
PSMB2,0.002201632
RHOC,0.002198097
MGST3,0.0021790224
DACT3,0.0021388973
CPQ,0.0021362605
ZFHX3,0.0021284851
ANTXR2,0.002102675
AP1S2,0.0020979964
PPP3CA,0.0020849193
SLC20A1,0.002064174
CKB,0.0020526526
DPYSL2,0.002051677
TOP2A,0.0020450912
RNASET2,0.0020433005
CMTM6,0.0020414416
CDC42SE1,0.0020126358
CDT1,0.0020062216
PIF1,0.0020061394
ZEB2,0.0020057426
IGBP1,0.0019918624
SOCS1,0.001978769
XIST,0.0019660434
ARL6IP5,0.0019592794
CTSL,0.0019566396
DNASE1,0.0019383596
CDCA7,0.0019087744
IL17RA,0.0018981376
GINS2,0.0018963543
CNTRL,0.0018948455
KMT2E,0.0018926477
CDKN1C,0.0018802488
ICAM4,0.0018307704
IKZF2,0.0018009742
HIST1H2BD,0.001791577
SRGN,0.0017901238
LINC01094,0.0017818708
RFK,0.0017737849
KCTD7,0.0017350449
PTGS1,0.0017204839
ABL2,0.0017060046
SELM,0.0016935002
SLC44A1,0.0016870133
PLAUR,0.0016849644
GSN,0.0016796403
ANXA2R,0.0016669868
IAH1,0.0016661258
CCL3L3,0.0016617555
TRANK1,0.0016477241
CITED4,0.0016397649
TNFAIP8,0.0016393973
HP1BP3,0.0016363419
FOXA3,0.0016284293
H6PD,0.0016278012
CD63,0.0016216779
GSTM3,0.0015778986
ALAS1,0.0015763574
ASIC4,0.0015751459
TMEM120B,0.0015745576
LYZ,0.0015673388
CCNL1,0.0015651701
POLR3GL,0.001562613
ARPC1B,0.0015579371
SETDB2,0.0015383606
PNRC1,0.0015326553
CLEC2B,0.0015315926
HIST2H2BE,0.0015295633
PTP4A3,0.0015178423
RSRP1,0.0015168699
IFI27L2,0.0015086395
RQCD1,0.0015040574
EXOG,0.0014977626
CNN2,0.0014848605
NCKAP1L,0.0014813127
RRM2,0.0014786925
HIST1H1D,0.0014395334
CORO1B,0.0014374352
TSPAN32,0.0014184838
RP11-887P2.5,0.0014174675
HLA-C,0.0014150708
C10orf54,0.0014081028
AURKA,0.0013970243
