,0
HSPA8,0.009919804
DNAJA1,0.008920487
AURKA,0.0077583506
BIRC5,0.007519181
PRDX4,0.0072368924
TFRC,0.007226289
TPX2,0.007192087
PPP1CB,0.0069515305
HSP90AA1,0.0068247505
FABP5,0.0064850478
PRKAR2B,0.0064286008
CKS2,0.0064247455
PDE4DIP,0.006221174
UFD1L,0.006114479
ANP32E,0.0060160644
PDIA4,0.0059959064
ASPM,0.0058470885
UBALD2,0.005768937
PHF19,0.0054262043
SSBP1,0.0053499774
DHFR,0.005334624
KIAA0101,0.0052898596
NUCKS1,0.0052232263
TRIM56,0.005146279
HSP90B1,0.005078736
CDT1,0.0049683163
ACTG1,0.0048921215
MT-ND4L,0.004844324
MT-ND6,0.004801208
WDR43,0.0046137893
NME1,0.004478796
S100A13,0.0044776313
HBZ,0.0044605653
HBG2,0.0044538327
SET,0.0043008807
RALA,0.0042944155
PTTG1,0.004248628
KCNH2,0.004148241
MYLIP,0.0041112797
CALR,0.0041023605
ARL6IP1,0.004061792
TCF4,0.0040564053
HSPA5,0.0040269815
MAP7D1,0.0040242057
SLC20A1,0.004002908
CAPZA1,0.0039725197
SRSF3,0.003931667
RAN,0.00390144
TOR3A,0.0038818773
HMGB2,0.0038566443
CCNA2,0.003770538
JADE1,0.003759069
AURKB,0.0037529392
PRKCB,0.00373396
MTRNR2L8,0.0037127184
SGOL1,0.003702148
PSMB3,0.003699845
PITX1,0.003698898
RANBP1,0.0036766285
ANKRD10,0.0036354668
COMMD6,0.003634672
AVP,0.0036337625
CDC20,0.0036013173
TSPYL1,0.0035461956
MPZL1,0.003538597
ST6GALNAC1,0.0035324006
KIF2C,0.003474247
TRIB3,0.003453288
RABAC1,0.0034517045
HMGB1,0.0034495569
TAPBP,0.00341885
UBE2H,0.0033990596
LHX1,0.0033557182
BHLHE40,0.0033431205
NUSAP1,0.0033000591
PHB,0.0032911159
AC006262.5,0.003273434
SDF2L1,0.003230106
HERC2,0.0031998253
HIST1H2BG,0.0031917975
BCYRN1,0.0031763958
LRRC75A,0.003158205
PTMA,0.0031496473
CDC42,0.0031442307
IER2,0.0031354765
KLF1,0.0031189388
CREM,0.0031031398
CPEB4,0.0030984038
HSP90AB1,0.003084494
MAP1A,0.003065406
CENPE,0.0030378725
MKI67,0.003025369
CCNL1,0.0030202738
RAB11FIP1,0.0030052643
IGBP1,0.0029989297
SRM,0.0029938985
PHGDH,0.0029754643
LDHA,0.002943378
SMC4,0.0029317813
MDM4,0.00286715
ATF4,0.0028628733
FAM83A,0.0028088465
TUSC3,0.002801531
KMT2E,0.0027688337
MAP1B,0.0027634157
NEU1,0.0027544294
ATP6V0B,0.0027469392
CD93,0.0027434048
RNF168,0.0027285772
TUBB4B,0.0027237711
RPL22L1,0.002691767
NPC2,0.0026883848
HIST1H2BJ,0.0026540195
MT-CYB,0.0026464341
ZYX,0.0026438606
RNF130,0.0026408806
HN1,0.0026308342
ROGDI,0.0026223657
PSMD5-AS1,0.0026209347
CDCA7,0.0026166034
RP11-467L13.7,0.0026008019
MAPKAPK2,0.0025989052
HIST1H2BH,0.002570825
OAZ2,0.0025620365
CKAP2,0.0025611632
HIST2H2AC,0.0025196269
VMP1,0.002505977
AAK1,0.0024929175
TUBA1B,0.0024754426
UBE2L6,0.0024693764
EXOSC8,0.0024675755
HOXB9,0.0024604325
MS4A4A,0.0024514522
EGR1,0.0024261673
PLK1,0.0024075352
HIST1H1C,0.002401716
DEK,0.0023909498
SNHG19,0.002378264
AK8,0.0023580566
BLVRB,0.0023103536
PHKG1,0.0023032627
LAPTM4B,0.0022856107
PSMB6,0.002275829
RP11-473M20.16,0.0022457817
SDCCAG8,0.0022364608
NPM1,0.0021786923
DNAJC3,0.0021610414
CKS1B,0.002146925
SRSF7,0.0021369858
CTD-2012K14.6,0.002117155
DUSP9,0.0021170601
DUSP1,0.002116633
SKIL,0.0021121232
RSRP1,0.0021033308
LINC00467,0.0020868992
TXNIP,0.0020782845
MPP5,0.0020709452
MR1,0.002054286
GINS2,0.0020437886
CPQ,0.0020328017
APOLD1,0.0020300548
APLP2,0.0020165364
MDH2,0.00199557
CACYBP,0.001980373
CTC-425F1.4,0.0019762495
TMSB10,0.0019757154
HIST1H2AC,0.0019746812
RPS6,0.001974556
CLN5,0.0019739277
IFI27L2,0.0019627241
SP6,0.0019553818
MANF,0.0019493274
REEP6,0.0019421915
STMN1,0.0019401191
BPTF,0.0019316776
RP11-83A24.2,0.0019028516
GYPA,0.0018925082
HMMR,0.0018924348
CR1L,0.0018827285
JUN,0.0018756688
TNFAIP2,0.0018756358
CENPF,0.0018704777
SOX4,0.0018646169
HMGN2,0.0018402557
RTN4,0.0018208254
MT-CO2,0.0018189838
ZFHX3,0.0018155163
CLDN6,0.0018116299
NR2F2,0.0018077951
