,0
SH3BGRL3,0.014645727
CCND3,0.007968252
ZC3HAV1,0.007253978
LAPTM5,0.007047127
LGALS1,0.0067171347
MBD4,0.00619076
SOCS2,0.0061610243
ZFP36L2,0.006144411
TESC,0.0061125667
GNAI2,0.0058555803
ARGLU1,0.005455584
SQLE,0.005257653
KRT8,0.0052296957
LIMD2,0.004956805
HHEX,0.0049477085
SLC40A1,0.0048912894
GPSM3,0.004887861
TIMP1,0.004868784
PNISR,0.0048653637
FEV,0.0048502674
RP11-301G19.1,0.004814646
CD7,0.0047897385
RGCC,0.0047512315
HBG1,0.004665374
SNHG9,0.004646211
MYH9,0.0046364293
GDF15,0.0046125823
FOXL2,0.0045903004
CLIC1,0.0045806454
ASRGL1,0.0045801527
SERPING1,0.004504004
ARPC5,0.0044797035
MALAT1,0.0041736905
ITM2B,0.0041575176
FCER1G,0.004154307
TOR3A,0.004127564
ESAM,0.00409762
AC007246.3,0.004037066
HLA-C,0.0039941045
FAM19A2,0.0039303703
FNBP1,0.0039214427
CDKN2D,0.0038716209
ODC1,0.00381361
HP1BP3,0.0037886687
C6orf1,0.0037868484
RAC2,0.0037831052
CFD,0.0037248847
ORAI2,0.003709799
BRI3,0.0037054073
PSMB6,0.0036799563
MAP1B,0.003579413
ASPM,0.0035690744
CDKN1C,0.0035451325
S100A13,0.0035395506
ANXA3,0.0035307999
TRIM56,0.0035105457
SRSF3,0.0035073122
NPC2,0.0034992332
DOK2,0.0034916734
MAPKAPK2,0.0034860116
PROS1,0.003477813
MIDN,0.0034309563
UBE2H,0.00339168
EMP3,0.0033823077
CENPA,0.0033758618
MLLT11,0.0033494479
BEX2,0.0033397048
TAPBP,0.0033356901
PNMT,0.0033077977
PTPN12,0.003298248
PHLDA2,0.0032883338
EGR1,0.0032836685
HBZ,0.0032527056
ZEB2,0.0032364968
FAM234A,0.0032309562
DNAJC3,0.0032232793
PPP1R18,0.0032133716
CDC42SE1,0.003190959
PLEKHO1,0.0031846706
ADAM17,0.0031800377
NFE2L2,0.0031604904
ATF4,0.0031596438
CAPZA1,0.0031482754
DNAJC4,0.0031391103
HBA1,0.0030755624
LIPH,0.0030267027
RABGAP1L,0.002986214
BNIP3L,0.0029668275
RTN2,0.002956798
APLP2,0.0029498716
LINC00685,0.0029198092
DUSP9,0.0029134585
TGFB1,0.002911886
PLD3,0.0029115267
KIAA1551,0.0029015369
SAT1,0.002884105
CALCOCO1,0.002841311
ATP6V0E1,0.002836665
DAZAP2,0.0028337198
LINC01003,0.0028334304
BPTF,0.0028125267
ACP5,0.00280709
UBALD2,0.0027968201
RSRP1,0.0027702695
TMSB10,0.0027668155
MYL12A,0.0027629044
MACF1,0.002735219
GYPC,0.0027082695
RNASET2,0.002705727
STAC3,0.002700882
TNNT1,0.0026334152
CYP3A5,0.002627475
DEK,0.0026082206
KCNQ1OT1,0.0025928174
HBA2,0.0025892288
CD55,0.0025875575
NABP1,0.0025801233
SUSD3,0.0025789437
SMAP2,0.002548898
ECM1,0.002544087
CD9,0.002539299
LCP2,0.0025383264
BTG2,0.0025375853
PMAIP1,0.002506397
FTH1,0.0024893063
JADE1,0.0024610606
EIF4A2,0.0024378705
FABP5,0.0024358109
LMNA,0.002416331
PTGS1,0.0024035317
KIT,0.0023911523
RHOC,0.002366712
DOK3,0.0023665512
JUND,0.002355073
PPIC,0.002326494
FLNA,0.0023243877
GLUL,0.0023002943
LMO2,0.0022816053
AC016629.3,0.0022660587
PLP2,0.0022573331
GTSE1,0.0022554926
RPL22L1,0.0022409172
PIM1,0.0022075577
ALAS1,0.0021959709
MRC2,0.0021805123
GOLIM4,0.0021784373
RP11-93H24.3,0.0021668642
FAM101B,0.0021615548
HBP1,0.0021550094
PLAUR,0.0021418086
CMTM6,0.0021365527
VAT1,0.0021303052
MT1F,0.0021184478
HN1,0.002102355
IL6ST,0.0020882585
RRP12,0.0020846738
SDF2L1,0.0020700605
SLC25A37,0.0020683648
ISG15,0.0020470943
MT-ATP6,0.0020403692
CSF3R,0.002025651
PITX1,0.002024231
PYCARD,0.00201312
UBASH3B,0.002004339
CLTA,0.001999347
SP6,0.0019686474
PIF1,0.0019562123
ZFHX3,0.0019519299
HEMK1,0.0019491012
DNAJB1,0.0019487247
UBC,0.0019427993
SERPINB9,0.0019286257
TEX30,0.0019189722
ABHD4,0.0019132246
PLEKHH2,0.0019114058
STOM,0.0019086062
CRYBA2,0.0019044848
ARHGDIB,0.001903051
MSRB2,0.0018979532
IER3,0.001856713
DPYSL2,0.001835585
ALAS2,0.0018222485
HMGB1,0.0017870971
SLC20A1,0.0017810746
CD52,0.0017684248
HEMGN,0.001762206
UBE2S,0.0017618092
FMNL1,0.0017579311
PTTG1,0.0017469309
YBX1,0.0017334376
HNRNPH1,0.0017290934
PSMD5-AS1,0.0017201945
ANXA2R,0.001718478
CCRL2,0.0017159749
ID2,0.0017047592
MT-CO3,0.0017025418
MT-CO2,0.0017015982
FASN,0.0016975432
HSPA5,0.0016873998
FEZ1,0.001687279
ETS2,0.0016755157
PHF19,0.0016653149
TNFRSF12A,0.0016529708
SLC44A1,0.0016496035
RP11-83A24.2,0.0016455266
RUNX1,0.0016409148
SPI1,0.0016337452
ANXA1,0.001625016
ARHGAP25,0.0016115771
GABARAPL1,0.0016056538
ANKRD11,0.0015966219
CYB5D2,0.0015957624
PLEKHA2,0.0015789709
OSR2,0.0015711313
GMFG,0.0015546484
IRF1,0.0015520896
SLC25A45,0.0015423802
TSPYL1,0.0015409321
SVIP,0.0015405813
TUBB2A,0.0015404198
ZFP36L1,0.0015334584
CCS,0.0015332211
SWAP70,0.0015324539
SEMA7A,0.0015271663
CMB9-22P13.1,0.001518931
PCAT14,0.001518434
C17orf99,0.0015099646
PHACTR1,0.0015092079
TAOK3,0.0014930565
TSPAN10,0.0014849222
LSP1,0.0014775128
VIM,0.001476286
IGFBP2,0.0014743176
CTSB,0.0014735642
CDT1,0.0014705232
