,0
ACTG1,0.008516496
PHF19,0.008085986
CFD,0.0073245876
HSPA8,0.00683137
MS4A3,0.006790222
PRSS57,0.006729638
CKB,0.006351381
WDR43,0.0063256538
PSME1,0.0060909037
HMGN2,0.005976081
ATP6V0B,0.005962323
CALR,0.0057119653
EMP3,0.0056017307
LMO4,0.0055790897
RANBP1,0.005451939
MT-CYB,0.005442555
HIST1H2BJ,0.0053397506
TYROBP,0.005322836
SNHG19,0.005316427
SOX4,0.0052415817
HMGB2,0.0051837675
CNN2,0.0051426436
TNFAIP8,0.0051268227
SH3BGRL3,0.005104465
MLXIP,0.0050794412
TOP2A,0.005009935
CAP1,0.0048890444
COLGALT2,0.00487793
LST1,0.004870798
TUBB4B,0.0048554526
METTL9,0.0048174374
H1FX,0.004720101
MGST3,0.0047147055
LGALS1,0.004630461
UBE2S,0.0045979423
KIAA0101,0.004494808
DDX21,0.004472797
TOR3A,0.0044666776
FCER1G,0.004463658
MAP1A,0.0043556383
CITED2,0.004349368
CCPG1,0.004329562
PDE4DIP,0.0043260055
IFITM2,0.004314386
MSRB1,0.004287176
ODC1,0.0042249295
SLC20A1,0.004218866
ORC6,0.00420976
MACF1,0.0041758274
MARCKSL1,0.0041547786
CACYBP,0.0040834593
PIF1,0.0040565454
DEK,0.003999908
MT-ATP6,0.0039976155
MT-CO3,0.0039830944
CDC20,0.0039699734
SYF2,0.0039649764
MANBA,0.0038861316
ARL6IP1,0.0038568445
AURKB,0.0037948822
SMC4,0.003744625
MANF,0.0037344065
SQLE,0.0037152478
HSPB1,0.0036784655
S100A11,0.0036485835
PCNA,0.0036270237
CENPU,0.0036119611
CEBPB,0.003606239
CDCA7,0.0035952546
CDT1,0.0035879526
COL2A1,0.003585824
NUDC,0.003576339
KIAA1551,0.0035680295
ZNF431,0.0034835474
POLR2J3,0.0034820768
HVCN1,0.0034548186
PSMA4,0.0034360667
TKT,0.0033766334
AAK1,0.0033696904
CSF3R,0.0033641704
CKS2,0.003340726
CEBPE,0.0033317797
UBC,0.0033223855
MDK,0.0033200856
MT-CO2,0.0032848893
MT-ND4,0.003283465
ATP6V0E1,0.003276948
DYNLL1,0.0032676144
CKS1B,0.0032655506
GSN,0.0032284951
CD37,0.003179688
AIF1,0.0031743771
GABPB1-AS1,0.0031709813
CCNA2,0.0031501492
IFI27L2,0.0031358567
SPI1,0.0030796442
MYL12A,0.0030381896
PPIB,0.0030266303
PSMB2,0.0030178502
NME1,0.0029851117
ANP32E,0.0029668699
ITGB2,0.0029490283
GLRX,0.0029356556
MILR1,0.0029151305
SPC24,0.0028887405
JUND,0.0028771656
TMSB4X,0.0028674179
CMTM6,0.002865779
KIF14,0.0028522196
CLC,0.002852069
RMI2,0.0028497311
ERV3-1,0.002846749
PLCG2,0.0028411841
ST6GALNAC1,0.0028262564
PTPN7,0.002822862
GLUL,0.0028074626
MPP5,0.002787119
GMFG,0.0027712716
RUNX1,0.0027663652
CREG1,0.0027292254
QPRT,0.0027042017
RP11-85G21.3,0.0026836102
PSMB9,0.0026710485
BST2,0.0026466385
HIST1H2BG,0.0026241082
ZC3HAV1,0.0026039716
LYZ,0.002593713
MT2A,0.002581209
CEBPA,0.0025801265
HMGB1,0.002568733
RNASET2,0.0025526143
MIDN,0.0025336016
ATAD2,0.0025184434
DNAJC3-AS1,0.0025138406
SRM,0.0025078387
IGFBP2,0.0024967762
CTSS,0.0024947508
AP1S2,0.0024900346
CYBRD1,0.0024831593
MSN,0.0024829395
MPZL1,0.002478301
MTRNR2L8,0.0024778957
UBE2L6,0.0024754761
PNMT,0.0024663326
BRI3,0.002458087
CST3,0.002447685
TUBA1C,0.002439724
LYAR,0.0023860487
PROS1,0.0023853213
FCGRT,0.0023763515
ARHGDIB,0.0023751121
SERPING1,0.002361061
ASRGL1,0.002349627
GMPR,0.0023435587
PRKAR2B,0.0023421145
CENPA,0.0023178367
SRSF3,0.0023152754
PSRC1,0.0023069119
RAC2,0.0022954098
TRAPPC6A,0.0022921327
HIST1H1C,0.0022356045
GTSE1,0.0022332596
UFD1L,0.0022287222
HELLS,0.002217712
AP001171.1,0.0021982999
HMMR,0.0021897238
LAMP2,0.0021848336
STMN1,0.0021791132
BAZ2B,0.0021750433
MTHFR,0.0021553726
CTD-3193K9.4,0.0021521193
MDH2,0.0021506392
BATF3,0.0021428352
CMB9-22P13.1,0.0021324868
PLPPR3,0.0020928744
RP11-693J15.6,0.002083915
EXOSC8,0.0020757248
FEZ1,0.0020634925
CD47,0.0020478042
CDK1,0.0020472978
CALM2,0.0020336646
PIK3R1,0.0020312886
AURKA,0.0020236203
CD9,0.00201492
PRDX4,0.001995433
PLK1,0.0019593532
UGP2,0.001957595
HES1,0.0019531238
BTK,0.0019510364
TPM4,0.0019491275
LCP2,0.001945781
ZBED5-AS1,0.0019442383
APOBR,0.0019405136
SRSF7,0.0019160094
TMEM120B,0.0019105107
XIST,0.0019076178
NCF1,0.0019009444
CLSPN,0.0018910884
ARPC1B,0.0018892537
PPIC,0.0018697105
SVIP,0.001865524
PLP2,0.0018586946
EIF2S3,0.0018447412
BCL2L11,0.0018374298
PTPRS,0.0018304671
ADGRE2,0.0018094184
GAPDH,0.0018027069
TNFSF10,0.0017889014
NKG7,0.0017780726
CNTRL,0.0017629261
FEV,0.0017553066
ACAP1,0.0017540874
HSD17B4,0.0017349913
SH3BGRL,0.0017343363
AC142472.6,0.0017296387
SLF2,0.0017251115
TAOK3,0.0017166012
MT-ND6,0.0017121228
HSP90AB1,0.001707447
SET,0.0016940865
NR2F2,0.0016939099
PTRF,0.0016928453
TUBA1B,0.0016893412
CLN5,0.0016870106
LIMD2,0.0016768003
PRC1,0.0016682552
PLD3,0.0016679233
SUSD3,0.0016661106
FABP5,0.0016619528
CARD8-AS1,0.0016537596
TUBB,0.0016531384
HAGH,0.0016522129
RAB4B,0.0016488485
ITGAM,0.0016365433
CD53,0.0016305003
ARHGEF6,0.001610093
MT-CO1,0.0016099218
OAZ2,0.0016030426
ATG16L2,0.001599658
UBALD2,0.0015954226
