,0
ACTG1,0.011267612
EBNA1BP2,0.010865489
PPP1R14A,0.00970036
NME1,0.009154849
ENO1,0.008206888
SRM,0.008063298
LAPTM4B,0.008010522
UBE2S,0.007993487
CACYBP,0.007678968
SDF2L1,0.0074802255
CKB,0.0072551966
RANBP1,0.007109227
HN1,0.0070448574
PSMB1,0.006852248
PRDX1,0.006802517
PSAP,0.006797263
DDX21,0.0066671045
SSBP1,0.0066008028
LDHA,0.0064165513
HOXB2,0.006395832
EXOSC8,0.006341364
HSPA1A,0.0061941226
TSPAN13,0.0060374252
NUDC,0.006016924
HSP90AA1,0.005942353
C1QBP,0.0058598556
GAL,0.0056177056
CKS1B,0.005577481
PHB,0.0055678794
PRSS57,0.005555111
WDR43,0.00549974
ATP6V0B,0.0054423753
MANF,0.0054345583
KIAA0101,0.0054185023
PTMA,0.0053341747
RABAC1,0.0052617765
GYPA,0.005239079
LMO4,0.0052362126
MDH2,0.005158341
PSMB3,0.005096786
PTTG1,0.004994451
NPC2,0.0049499706
GOLIM4,0.004795548
CTSC,0.0047552045
CKS2,0.004679927
RP11-717F1.1,0.004572243
GALK1,0.0045382674
PITX1,0.0045091766
ODC1,0.0044750785
APOBR,0.004410312
MAP1LC3B,0.0044082715
SDCCAG8,0.00440804
PPIC,0.0043007336
LEPROT,0.004298634
HMGN2,0.004269985
PPP1CB,0.0042640916
FASN,0.004228983
AVP,0.004178494
MYC,0.004138047
TAOK3,0.0040419204
RPS6,0.004038795
PSMA4,0.0040334
MLLT11,0.0040052533
ARPC5,0.0039488995
GATA2,0.0039276043
PKM,0.0039227423
SRSF3,0.003880357
FNIP2,0.0038642748
CCDC136,0.0038621386
NUCKS1,0.0038608327
RTN4,0.0038006476
FAM178B,0.0037463
GYPB,0.0036992766
BCYRN1,0.0036616458
SMIM1,0.0036516725
SOX4,0.00362523
TUBB4B,0.0036247245
ETS2,0.003604719
KCNH2,0.0035597237
DYNLL1,0.0034886438
ATG2A,0.0034612236
SPC25,0.00345637
ASRGL1,0.0034514233
MYL12A,0.0034437058
HIST3H2A,0.0034424514
CTNNB1,0.0034223169
COMT,0.0033829336
TUBB,0.0033551997
CFH,0.0033440667
CEBPB,0.0033410748
WDR76,0.003320419
PHF19,0.0033067463
SMAP2,0.003263473
MT-ND2,0.0032235018
HIST1H4C,0.0032219433
CALR,0.003216361
FNBP1,0.0031810284
AURKB,0.0031480368
ORC6,0.0031223153
RPL22L1,0.0031209027
MAPRE3,0.0030975654
SMC4,0.0030926052
STMN1,0.0030723873
PPP1R15A,0.0030566512
MT1F,0.003028798
ANXA2,0.0029877743
SEPT6,0.0029787987
FEV,0.0029708361
ANP32E,0.0029514104
DDX1,0.0029455451
MAPKAPK2,0.0029207617
HMGB1,0.002894087
HMGB2,0.002870648
CYB5D2,0.002860004
ZFP36L1,0.0028221398
EMP3,0.0028086177
ARPC1B,0.0028085702
DAZAP2,0.002803933
CRELD1,0.0027912578
MT-ND6,0.002778665
S100A4,0.0027574713
MT-ND4,0.0027516233
SRSF7,0.0027230196
TFRC,0.0027044518
TPM4,0.0027003642
CMPK2,0.0026777484
YBX1,0.002644137
