,0
HBG2,0.008350004
HBD,0.007644861
BLVRB,0.007336896
GYPA,0.006134807
MT2A,0.0054927506
CALM2,0.00499857
ST6GALNAC1,0.004899365
ZNF431,0.004831868
S100A4,0.0047902516
TRAPPC6A,0.0047879075
TFRC,0.004755332
CLCN3,0.0047182273
GSTP1,0.0046617626
MTHFR,0.004583212
FASN,0.0045706457
ING2,0.004559879
RALA,0.0045099226
HBG1,0.004444741
APOE,0.004419167
CYB5D2,0.0043842415
ADAMTSL4,0.0043826383
RABAC1,0.0043610567
CLU,0.004088831
PSMB9,0.004051681
HIST1H2BJ,0.004039698
RRM2,0.0040230164
LEPROT,0.0039753015
UBE2L6,0.0039747735
SVIP,0.0039263866
CLTA,0.0039055368
PTPN12,0.0038674425
SH3BGRL3,0.0038654385
LYL1,0.0038127047
HEPH,0.0038088765
CSTB,0.003782887
BCYRN1,0.0037470895
ARPC1B,0.003732821
METTL9,0.0037236377
DHFR,0.0036965655
OAZ2,0.0036878604
FADS1,0.0036197496
ASRGL1,0.0036117851
ANXA5,0.0035700672
MPC2,0.0035474957
MYL4,0.003531678
HBA2,0.0035244457
BNIP3L,0.0034698013
SLC20A1,0.0034527183
CTSZ,0.0034343975
LPCAT2,0.0034091256
MAP1LC3B,0.003376738
LMO2,0.0033639667
CREG1,0.0033439675
HBA1,0.0033346522
ACAT2,0.0033045728
RMI2,0.0032615417
B2M,0.0032555657
SERPING1,0.003200239
LINC00467,0.0031798068
SLC25A37,0.0031732079
VAMP8,0.0031565723
CNTRL,0.003146801
MALAT1,0.0031024795
SESN2,0.0030734576
CARHSP1,0.0030601362
SNHG9,0.0030529718
GYPE,0.0030343314
IFI27L2,0.0030193897
CNN2,0.0030031076
QPRT,0.00293418
FAM89A,0.0028758282
MDM4,0.0028716254
CMPK2,0.0027820352
CD164,0.002716181
FAM178B,0.0027007859
ALAS1,0.0026938047
HEMK1,0.0026859704
RCSD1,0.0026803683
RABGAP1L,0.0026783966
SERPINF1,0.0026757503
HIST1H2BH,0.0026563525
ACSM3,0.0026488684
VIM,0.0026453624
RP11-445F12.1,0.0026274514
YPEL3,0.0026266153
EMP3,0.0026261208
AIF1,0.0026233871
CCNB2,0.0025999574
THEMIS2,0.0025904542
TNRC6B,0.0025805314
C1orf56,0.0025703523
SRSF7,0.0025570884
PPP1R14A,0.0025529221
SMIM14,0.0025526546
HBE1,0.0025370219
SLC40A1,0.0025356805
SKIL,0.0025270684
C6orf1,0.0025220925
AC006262.5,0.0025085036
VAMP2,0.0024976665
VAT1,0.002495965
TAPBP,0.002445269
SMIM1,0.0024116142
MBD4,0.0024010628
HERC2,0.0023934217
NTS,0.0023898615
STAM-AS1,0.0023844359
GAD1,0.0023763343
SLC25A45,0.0023652941
SYF2,0.0023643314
GOLIM4,0.0023611381
RPL22L1,0.0023582526
HIST1H2BG,0.0023515264
NEAT1,0.0023237478
RTN2,0.0022904056
CALR,0.0022843422
YPEL5,0.0022832933
GABPB1-AS1,0.0022797333
FCGRT,0.0022729977
SOD2,0.0022607849
TPX2,0.0022587646
GYPB,0.0022497766
ZSWIM8,0.002247847
HSPA1A,0.0022269243
CKS2,0.0022162697
PRDX4,0.0022078368
CD63,0.0021692337
CHD2,0.002168889
S100A1,0.002139673
ORAI3,0.0021285038
TM7SF2,0.0021263594
ITM2B,0.0021188578
HIST1H1D,0.0021130524
C2orf88,0.0021106473
STMN1,0.0021088696
DDX1,0.002093892
ZC3H6,0.0020868052
SPC24,0.0020785946
TESC,0.0020752882
TRIM56,0.0020477613
FLNA,0.0020356614
HES1,0.0020346732
RNF213,0.002026897
MFGE8,0.0020258024
POLR2J3,0.0020102258
BTK,0.0019981288
LBH,0.001984596
GRN,0.0019836694
PDLIM4,0.0019746106
FAM214B,0.0019680376
DNAJB1,0.0019680068
TNFAIP8,0.001961869
DLGAP5,0.0019470077
BST2,0.0019170177
KLF10,0.0019012655
