,0
SQLE,0.009510196
HIST1H4C,0.008762514
CD99,0.0074885073
UBE2L6,0.007082118
MARCKSL1,0.006798201
ERV3-1,0.0067401635
LST1,0.0062141446
CREG1,0.0060526505
LMO4,0.0058521265
CEBPE,0.0056840973
NUCKS1,0.005606475
COX17,0.0055412077
KPNA2,0.005478297
AC079466.1,0.0053938944
VIM,0.005292088
ANXA5,0.00516603
AIF1,0.005051732
CLU,0.005050228
SRSF3,0.0049850675
EIF1B,0.0048953993
TXNIP,0.0047197537
EMP3,0.004697504
TAPBP,0.0046031727
POLR2J3,0.004579352
SARS,0.004504908
CCNL1,0.004485541
RHOBTB3,0.004461773
ACTG1,0.004420186
ING2,0.004381763
PIM1,0.0043801083
KIAA0101,0.004288223
MPC2,0.004263195
DUSP9,0.0041983
HOXB2,0.004191473
ODC1,0.004186178
RP5-1171I10.5,0.004180628
CNN2,0.004154835
DDX1,0.0041277767
SMIM1,0.0040956764
PRSS57,0.004094079
PSMA4,0.004023255
SVIP,0.0039281994
HBG1,0.0038546766
SLC3A2,0.0038142563
TAOK3,0.0038082763
C21orf58,0.0037443698
CEBPB,0.0036908623
ZDHHC12,0.0036536292
RP11-708J19.1,0.0036238295
C1QBP,0.00358234
RP11-93H24.3,0.0035800422
TMSB10,0.0035619177
ANKRD28,0.0035539903
ANP32E,0.0035458663
LEPROT,0.0035227006
FAM234A,0.0035199868
TUBA1B,0.00344141
AP1S2,0.0034067787
RP11-620J15.3,0.0034014522
RANBP1,0.003340766
CPEB4,0.0033383854
SQSTM1,0.0033156583
HSPA8,0.0032940193
SDCCAG8,0.003286617
CDKN2C,0.0032136312
ZNF431,0.0032074929
HMGB2,0.0031732644
CD63,0.003167962
LMO2,0.0031668178
NR2F2,0.0031468763
HMGN2,0.0031359002
TAC3,0.0031293188
CENPF,0.0031288448
PHF19,0.0031176957
PRDX4,0.0030871595
ADAMTSL4,0.0030828316
NBR1,0.0030484847
FNIP2,0.003045219
HIST1H1E,0.0030437456
SLF2,0.0030422963
MGST3,0.0030422253
DNAJC3,0.003016883
ZFP36L2,0.0030013034
ARL6IP5,0.0029744748
BIRC5,0.0029635027
RP11-467L13.7,0.0029588095
TK1,0.002954349
MYO1F,0.0029277734
PLP2,0.002834229
CPQ,0.0028273868
GDF15,0.0028162485
EGR1,0.0028054386
LTB,0.0027827814
KRCC1,0.0027721226
APOC1,0.0027599216
VMP1,0.0027493818
ACTB,0.0027474489
CTSZ,0.0027107596
DNAJB1,0.0027042895
PPP1R12A,0.0026897546
ADCK1,0.0026753987
CHD2,0.0026749726
SNX10,0.0026659085
SUMF2,0.0026615236
PNISR,0.0026597716
PPP1R14A,0.0026335455
B4GALT1,0.0026040426
TAF7,0.0026035348
RNF168,0.0025821405
SKIL,0.0025601103
MIR3945HG,0.0025586067
LYRM9,0.0025547643
HLA-E,0.0025277266
FAM83A,0.0024800305
RICTOR,0.0024530936
FAM45A,0.002445864
AK8,0.002396514
TSPYL1,0.0023900706
C4orf48,0.002367102
KCNQ1OT1,0.0023621954
HOXC13,0.0023560668
TRIM5,0.0023504363
TNFAIP2,0.0023460342
PNRC1,0.0023354879
PTMA,0.0023091503
CLN5,0.00230242
