,0
S100A11,0.011053693
VIM,0.008648572
LST1,0.00857691
PRSS57,0.008457196
LIMD2,0.007854329
SH3BGRL3,0.0074120834
TPM4,0.0073815905
KRT18,0.007118357
IFITM2,0.0070285844
BPTF,0.0066391407
NEU1,0.0065610744
SPI1,0.006425276
AIF1,0.0063198134
S100A10,0.006270358
ARHGDIB,0.006206709
SARS,0.0061934185
ATP6V0E1,0.0061167018
FNBP1,0.006035508
RP11-301G19.1,0.0059642466
ACTG1,0.0059119826
TMSB4X,0.005860464
PYCARD,0.0058460687
MIDN,0.0057929866
TYROBP,0.005748108
VAMP8,0.005742598
TLN1,0.005639805
GRN,0.0054126596
SAT1,0.0052976613
ACSM3,0.0052807317
EIF1,0.0052350843
ZDHHC12,0.0051507144
PTPN12,0.0051269107
PIF1,0.0050979964
BRI3,0.0050035967
CDCA8,0.004796228
MPZL1,0.004766372
FCER1G,0.004691908
TNNI3,0.004684743
RPL22L1,0.0046446095
GALK1,0.004592113
UGP2,0.004582295
POLR2J3,0.004508368
BTG1,0.0044855042
AP001171.1,0.004478918
CALR,0.0044695283
ATF7IP2,0.004465227
CLTA,0.0044636675
APOBR,0.004429517
PPCS,0.0044187866
HLA-E,0.004397306
CAP1,0.004378308
TMSB10,0.004345897
ATG2A,0.004247936
RHOH,0.0041536293
MKNK2,0.004126588
PYROXD2,0.0041129403
TKT,0.0041091642
CDKN2C,0.0039907
TRPM4,0.00396196
HIST1H3H,0.0039543393
FAM214B,0.003885017
RICTOR,0.003861111
UBE2L6,0.0038100893
TXNIP,0.003759947
LINC01003,0.003753787
ETS2,0.00374601
ZBTB16,0.003745607
LIMS1,0.0037171056
TBC1D10C,0.003714569
GPSM3,0.0036872597
TAOK3,0.0036682657
HLA-C,0.003665107
ESAM,0.0036072354
AC007246.3,0.0035974719
MYO1F,0.0035970656
ID1,0.0035799155
UBC,0.0035180233
FOXL2,0.0035100218
MBD4,0.0034835925
SMIM1,0.003453835
KRT8,0.0034460658
COTL1,0.003423847
ZSCAN16-AS1,0.0034047747
ARPC1B,0.0033894053
NCKAP1L,0.0033885094
CCNB1,0.0033461037
PPP1R18,0.0033259857
RSRP1,0.003314547
IGBP1,0.0033041104
RPL7A,0.0032839514
TSC22D1,0.0032649369
AURKA,0.0032648556
CENPE,0.0032362433
FAM89A,0.0031780137
KLF6,0.0031639354
SLC25A45,0.0031523958
LAPTM5,0.0031391198
FUCA1,0.0031341703
LPCAT2,0.0031319666
AC020571.3,0.0031278543
SH2D2A,0.0031053086
ANKRD28,0.0031000199
HBE1,0.0030938378
ITGB2,0.0030900964
FLNA,0.0030818798
TPP1,0.0030712762
CST3,0.0030637993
PNRC1,0.0030573327
IDH2,0.0030488607
LGALS1,0.0030302857
AP1S2,0.002979804
SOX4,0.0029776227
FMNL1,0.0029628242
MARCKSL1,0.0029560034
CCNB2,0.0029559326
GATA2,0.002942553
PPIB,0.0028964018
LYZ,0.0028880208
C1RL,0.0028589938
RPL7,0.0028526017
PSAP,0.002849006
PDIA4,0.002843187
RAB11FIP1,0.0028140228
LRMP,0.0028091809
DST,0.002789994
CAPZA1,0.0027820051
MT-ATP6,0.0027706034
MFGE8,0.0027671114
RP11-467L13.7,0.0027617796
CDC42SE1,0.0027302522
ID3,0.0027282508
HOXB6,0.0027153029
MIR4458HG,0.0026887914
ARPC3,0.0026767491
RABGAP1L,0.0026684671
TUBB4B,0.0026552672
ANKRD10,0.0026173138
RPL10,0.00260581
CD63,0.0025828206
SEPT6,0.0025770843
ORAI2,0.0025697965
JUND,0.0025691418
MIR3945HG,0.0025392566
SMAP2,0.0025359795
CYB5D2,0.0025313061
RPS4X,0.002523423
FCGRT,0.0024902034
TSC22D4,0.0024836904
HOXB4,0.0024822468
ANXA5,0.0024763376
IFI27L2,0.0024732398
TFAP2B,0.0024540462
CTSB,0.0024496932
RPS6,0.0024338963
SDCCAG8,0.0024325326
MT-CYB,0.0024323266
MAPKAPK2,0.0024248934
TRIM56,0.0024102747
WSB1,0.0023997845
UBALD2,0.0023992127
AKAP13,0.0023761315
CCPG1,0.0023696544
CTD-3193K9.4,0.0023462365
CEBPE,0.0023453773
CHD2,0.0023120716
TGFB1,0.0022879285
PTPN7,0.0022869443
LMNA,0.0022784483
INTS6-AS1,0.0022744727
SUSD3,0.0022726404
CFH,0.0022634054
CDC20,0.0022610426
LGALSL,0.0022500874
P2RX4,0.0022439724
CKAP2,0.0022434858
SCN9A,0.0021981106
MT1E,0.0021969033
NAGK,0.0021897403
GMFG,0.002180052
PDLIM4,0.0021578835
C6orf1,0.0021484941
TUBB2B,0.0021428694
GAPDH,0.0021196897
PLK1,0.0021173905
JUNB,0.0021131753
HBA1,0.0021074556
LACTB,0.0020939847
RPS3A,0.002082811
MYC,0.0020727313
MSX1,0.0020627445
CSAD,0.0020364074
GSN,0.0020235754
PTPRC,0.0020109857
HIST1H2AC,0.0020045144
PTGS1,0.0019966702
PTPN6,0.0019912608
FERMT3,0.0019789794
TMEM219,0.0019616832
MTHFR,0.0019572966
FADS1,0.0019406772
XIST,0.0019384123
HOTAIRM1,0.0019305123
CPEB4,0.0019072818
ROGDI,0.0018983078
FAM19A2,0.0018952006
IER2,0.0018616632
CDKN2D,0.0018516489
EXOSC8,0.0018480013
PLPPR3,0.0018474609
SLC2A1-AS1,0.0018398011
AK8,0.0018374986
UCP2,0.0018357361
PNMT,0.0018283695
CSRNP1,0.0018217462
ID2,0.0018198858
ZFP36L1,0.0018145766
NENF,0.0018038877
OSR2,0.0018035554
TOR3A,0.0017852308
PIM1,0.0017797644
MT-ND4L,0.0017725197
CREBRF,0.0017724817
H1FX,0.0017682845
TRIM38,0.0017678154
BAIAP2-AS1,0.0017672429
ZBTB38,0.0017597186
RP11-147L13.15,0.0017218319
MT-CO2,0.0017206575
KLHL24,0.0017186803
GCNT2,0.0017184097
EIF2S3,0.0017184084
PSMD5-AS1,0.0017138361
LTB,0.0017114548
CD164,0.001700022
RUNX2,0.0016947571
NUSAP1,0.0016845362
SOCS1,0.0016736148
ISG15,0.0016723131
MYL12A,0.0016693192
CSF3R,0.0016618494
RHOC,0.0016583973
PNISR,0.001657763
RDH10,0.0016536342
CD82,0.001649869
IDNK,0.001643589
MKI67,0.0016412789
CEBPA,0.0016391727
TMEM173,0.0016231461
BHLHE40,0.0016170047
VMP1,0.0016133995
LGALS3BP,0.0016005778
ITGB2-AS1,0.0015999533
TFRC,0.0015932636
TFPI,0.0015791955
COMMD6,0.0015705597
TLE4,0.0015670024
AC079466.1,0.0015598173
CSTB,0.0015547995
PLEKHO1,0.0015542643
TP53INP1,0.0015466327
GAD1,0.0015343518
ODC1,0.0015335084
PHGDH,0.0015189423
CAPG,0.0015162101
ZC3H6,0.0015153906
C10orf54,0.0015099936
HIST2H2AC,0.001509916
PLEKHH2,0.0015097121
CTD-2035E11.5,0.0014790628
LIPH,0.0014784654
NR4A1,0.0014778379
SLC40A1,0.0014775866
GIPR,0.0014716646
IL2RG,0.0014706707
C1QBP,0.0014571105
BBC3,0.0014488322
POLR2E,0.001443471
MILR1,0.0014397488
ARL6IP5,0.0014320381
CD59,0.0014279138
NTRK1,0.001426791
TK1,0.0014165972
PLP2,0.0014034725
RGS16,0.0014020278
MTRNR2L8,0.001397986
PRKCB,0.0013969167
DUSP1,0.0013956428
RP11-708J19.1,0.0013923013
DOK3,0.0013911221
LRP1,0.001390055
FAM118A,0.0013733326
SYP,0.0013694267
CORO1B,0.001367943
MT-CO3,0.0013673605
PLD3,0.0013600297
RP11-1143G9.4,0.0013592773
SDSL,0.0013372038
CTSZ,0.001333324
DOK2,0.0013267752
AC142472.6,0.0013256146
ASPM,0.0013205677
DPYSL2,0.00131498
GDPGP1,0.0013091925
COL9A2,0.0012874549
MT-CO1,0.001273366
HOXB2,0.0012728968
CCND3,0.0012710547
FASN,0.0012622739
WDR76,0.001261367
TF,0.0012599973
SLC35F3,0.0012571904
FAM46C,0.0012556739
COMT,0.0012518471
BIRC5,0.0012509791
CEBPD,0.0012334983
B2M,0.0012289179
AC245100.1,0.0012266459
NBR1,0.001224674
RP6-159A1.4,0.0012241217
HIST1H2BE,0.0012203825
ENO1,0.0012185242
HIST1H2BH,0.0012120684
CLIC1,0.0012099075
DNAJA1,0.0012098902
SERPINF1,0.0012036859
DDIT3,0.0012035336
SMOX,0.0012020271
ZEB2,0.0011948543
CD37,0.0011884592
UNC5B,0.001185752
ORC6,0.001185513
GP6,0.0011838705
IER3,0.0011747163
PDE9A,0.0011729524
RP11-83A24.2,0.0011718515
HOXB5,0.0011708598
MEF2C,0.0011624042
IFI6,0.0011606389
HVCN1,0.0011544917
