,0
CD59,0.007395235
CD63,0.006903087
ICAM4,0.0068851295
ZSCAN16-AS1,0.006356318
ORC6,0.00624942
ST6GALNAC1,0.0058203344
ANKRD10,0.005620061
POLR3GL,0.0055831163
LAPTM5,0.005289234
HBA1,0.0051758597
POLR2J3,0.0050274613
PGD,0.0050246287
MIDN,0.0050152224
COX17,0.004999802
IDH2,0.004985533
SOCS1,0.004784942
RP11-717F1.1,0.0047119795
GSTP1,0.0046671843
LEPROT,0.00462291
KCNQ1OT1,0.0046118135
RELN,0.004611812
SVIP,0.004530247
TNRC6B,0.004501106
TRIM38,0.0044523827
CTSC,0.0043923464
EXOG,0.0043213456
LINC01420,0.004311309
CA11,0.0042478372
MT-ND4L,0.0041990746
LMNA,0.0041272244
HBE1,0.0041040345
CAP1,0.004069927
LY6E,0.004065925
MPC2,0.0040584477
CLCN3,0.0039961664
NCKAP1L,0.0039698128
OS9,0.0039642924
HBG1,0.003954841
TRIM56,0.003940603
B2M,0.0038852743
CTSZ,0.0037484954
FAM89A,0.0037162572
PYROXD2,0.003694416
MAGED2,0.0036879976
RP11-796E2.4,0.003662351
ALAS2,0.0035751811
MBD4,0.003566976
LACTB,0.0035636532
ERV3-1,0.0035362542
PCNA,0.0034224605
ARPC1B,0.0033997598
CENPA,0.0033914447
MT-CO1,0.0033788932
STAC3,0.003372165
NFE2,0.003359489
LMO2,0.0033585294
AIM1,0.0032998596
MDH2,0.0032551552
CEBPE,0.0032535633
CD7,0.0031383878
MT-CO2,0.0030845683
PSMD5-AS1,0.0030698332
SNHG19,0.003069175
HBZ,0.0030645956
BMP2K,0.0030607749
PLEKHH2,0.0030236244
CDC45,0.0029855317
TAC3,0.002984965
CFD,0.0029792679
CCS,0.0029651579
HBA2,0.0029437495
MAP1A,0.0028675788
GOLIM4,0.0028389683
FCER1G,0.0028111637
MMP24-AS1,0.0027976828
APOBR,0.0027933524
SOD2,0.0027823322
AP001171.1,0.0027811711
SERPINF1,0.002776086
TJP2,0.0027738805
NPC2,0.0027650928
ZBED5-AS1,0.0027486375
LYAR,0.0027365335
RP5-1171I10.5,0.002735397
ARHGDIB,0.0027331368
MYL6,0.0027082479
GATA2,0.0026981144
HMMR,0.0026959449
RNF213,0.0026639802
S100A11,0.0026637437
FUCA1,0.0026192607
DPYSL2,0.0025965364
CCND3,0.0025946395
THUMPD3-AS1,0.0025945196
SLC40A1,0.002569047
PPIC,0.0025572868
LINC01003,0.0025547957
C1orf61,0.0025289985
ING2,0.0024917778
HES4,0.0024844562
TSC22D4,0.0024785835
MDM4,0.0024597896
TRPM4,0.0024303568
FTL,0.00242797
HLA-C,0.0024224475
TCF4,0.0024224264
