,0
MT-ND6,0.011758077
PRSS57,0.010355161
RP11-301G19.1,0.010197669
ANP32E,0.008168784
MT2A,0.0081489105
MT-ND4L,0.007850735
LMO4,0.007594601
S100A11,0.007594453
MARCKSL1,0.007088201
C4orf48,0.007080477
TOR1AIP2,0.006970581
PYCARD,0.006957374
BIRC5,0.006922738
DEK,0.0062242877
WSB1,0.0060839374
ID1,0.005788885
HEPH,0.0057137576
AC079466.1,0.005671253
BTG1,0.005657708
FAM83A,0.0055552707
MT1F,0.0055407546
WBP5,0.0055331853
NUCKS1,0.005468101
CKS1B,0.0054173707
CENPF,0.0051710606
TNFAIP2,0.005158437
KCNQ1OT1,0.005152984
DBI,0.005120086
LAPTM5,0.0051005343
TOP2A,0.004966466
LIMS1,0.0049517015
RP5-1171I10.5,0.0049508633
NUSAP1,0.00494901
SRSF3,0.0048750774
EIF2S3,0.0048137526
ATF7IP2,0.004803341
ZNF431,0.004791699
PLPPR3,0.0047878046
TFRC,0.0047315937
CLCN3,0.0046937377
RQCD1,0.0046743504
RP11-467L13.7,0.0046374775
DLGAP5,0.0046208384
FAM118A,0.004583581
CFD,0.004575811
KCNH2,0.0045698863
ROGDI,0.004546293
CENPA,0.0045462125
GLRX,0.004488861
SSB,0.004482837
MDK,0.004480716
CDCA8,0.004477633
SMC4,0.004397204
CEBPE,0.004390222
CKS2,0.004376715
MLXIP,0.0042904476
CCNL1,0.0042486074
TMSB10,0.0042252373
HIST1H2BJ,0.0041531255
SON,0.004106199
UBE2S,0.004073137
FAM210B,0.004069748
WDR43,0.004065114
TPX2,0.003993886
SGOL1,0.0039935485
NEAT1,0.003982086
TMSB4X,0.0039715203
AAK1,0.003905802
RTN4,0.0038779492
DAZAP2,0.003876774
B4GALT1,0.0038207378
HIST2H2AC,0.0037747868
COMMD6,0.003721291
MIR4458HG,0.0037186467
GMPPA,0.0036865063
SPI1,0.0036828315
SOX4,0.0036727584
PIF1,0.0036507787
ALAS1,0.0036366563
CMTM6,0.0036171805
VAMP8,0.0035287975
XIST,0.0035074926
HMGB2,0.0034990374
MT-ATP6,0.0034844931
CSF3R,0.003468125
DSCR8,0.0034631582
PNISR,0.0034579777
MPZL1,0.0034390579
S100A13,0.003410779
CCNA2,0.0033931222
JADE1,0.0033913595
FTL,0.0033773284
S100A4,0.0033599306
ARL6IP5,0.0033546037
PLK1,0.0033483356
TYROBP,0.003337291
MT-ND4,0.0033245943
IQGAP2,0.0033196395
MT-CO2,0.0033189408
ZDHHC12,0.0033079474
AC007246.3,0.0033065707
LYL1,0.00328841
PSMA4,0.0032499451
CLU,0.003247898
