,0
ATP6V0E1,0.009134582
ATF7IP2,0.008345701
EIF4A2,0.007093691
S100A11,0.0068578697
TEX30,0.006480669
ATF4,0.0063998527
KRT18,0.0063980017
CLSPN,0.006037742
OAZ2,0.0058717346
LMO2,0.005814974
CLIC1,0.005547558
TXNIP,0.005485886
NPC2,0.005434463
IGBP1,0.0052160453
TLN1,0.005163109
CAP1,0.005124082
ITM2B,0.0050643436
SGOL2,0.0049546817
UBC,0.0049183657
ZSCAN16-AS1,0.004901221
ROGDI,0.00486135
KRT8,0.0048527587
MTRNR2L8,0.0048495536
LAPTM5,0.0048426203
BRI3,0.0048093637
CD164,0.0047622346
LIMD2,0.0047190143
RHOC,0.0046798754
EIF1,0.0045824866
RCSD1,0.004355236
HIST1H2AC,0.0043302416
YPEL5,0.0042700013
MSRB1,0.0042492696
PKM,0.0041921027
TMEM219,0.004155809
MALAT1,0.0040502152
SRSF7,0.004036605
RP6-159A1.4,0.0040313234
LYZ,0.0039668493
SERPING1,0.0039337752
RP11-620J15.3,0.0039092647
TMSB10,0.0038794496
FCER1G,0.003870274
GMFG,0.0038698043
MSN,0.003839796
ATF5,0.0038278324
BCYRN1,0.0037618205
KIF2C,0.0037229129
YPEL3,0.0036941138
ESAM,0.0036692922
GLUL,0.003659545
PYROXD2,0.003627606
TIMP1,0.0035364295
NFE2L2,0.0034531315
KMT2E,0.0034032364
IGFBP2,0.0033565932
BSDC1,0.0033528437
ORAI3,0.0033481875
ACSM3,0.0033480392
CENPA,0.003342427
DLGAP5,0.003280291
PPP1R18,0.003265296
NCOA7,0.00326375
CORO1A,0.0032250483
PSMA4,0.003222725
TCF4,0.0031928797
GADD45A,0.003178523
RABAC1,0.0031697452
CSTB,0.0031669536
AP1S2,0.003105809
BTG2,0.0030989053
CDC20,0.0030852694
ARL6IP1,0.0030823634
SON,0.0030789918
PDIA4,0.0030535893
GNAI2,0.0030529913
EXOSC8,0.0030473263
NPM1,0.0030432637
TNNT1,0.0030384085
CTSC,0.0030332345
TESC,0.0030235255
HOXB2,0.0030028431
FOXL2,0.0029917257
S100A10,0.0029814055
CKAP2,0.0029713896
HMMR,0.0029636836
TPM4,0.0029506178
GATA2,0.0029114806
SH3BGRL3,0.0029111311
LGALS1,0.00290865
S100A1,0.0028951964
CMTM6,0.0028887477
RP11-467L13.7,0.0028696347
AURKA,0.0028503619
METTL9,0.0028364589
FNDC3B,0.0028232976
LYL1,0.0028226739
RTN4,0.0028177921
SOCS1,0.0027885393
MT-ND6,0.0027792957
BTK,0.002773602
APOE,0.0027684355
SQSTM1,0.0027653165
LY6E,0.0027566575
ARPC5,0.0027294252
CNTRL,0.0027260648
TOP2A,0.0026929637
ARID5B,0.0026528675
KIAA1551,0.0026484742
IQGAP2,0.0026400264
IL17RA,0.0026171228
LDHA,0.00259418
TJP2,0.002586689
ANXA2,0.0025808194
DSC2,0.0025654233
IFITM2,0.0025644673
SERPINF1,0.0025500383
CDCA8,0.0025449262
MILR1,0.0025400147
VAMP2,0.002480437
MTURN,0.0024742158
VIM,0.0024713876
HSP90B1,0.0024263714
MMP24-AS1,0.0024147541
TKT,0.0024062425
KPNA2,0.0024035946
ASIC4,0.002402722
TUBA1C,0.0023812922
RPS4X,0.0023741215
SELPLG,0.002363433
DDIT3,0.0023525301
SRSF3,0.002337742
PTPRS,0.0023325155
ETS2,0.0023277688
IGDCC3,0.0023073396
ABL2,0.0022991602
MS4A4A,0.0022913693
LDHB,0.0022778488
TES,0.0022455442
AAK1,0.0022368564
C10orf54,0.0022248065
MKNK2,0.0022103805
HSPA8,0.0022024792
PMAIP1,0.0021884437
PIM2,0.00217352
PSRC1,0.0021574292
MYL12A,0.0021489062
TAX1BP1,0.0021241468
DDAH2,0.0021216671
CCNB1,0.002108777
PIF1,0.0021058668
HSP90AB1,0.00209214
PRDX5,0.002090905
CD47,0.0020877721
GINS2,0.0020715855
SLC3A2,0.00206508
SNHG9,0.0020588445
EXOG,0.002046491
PGD,0.0020281004
