,0
CAPZA1,0.008706555
SH3BGRL,0.008073374
GADD45A,0.0074891145
DNAJC4,0.0069871778
PSMB2,0.0065098223
QPRT,0.006359122
WBP5,0.006019248
POLR3GL,0.005863822
CCND3,0.0058132517
HIST1H1C,0.0052220775
FEZ1,0.0051530506
PKIG,0.0051408457
WSB1,0.005115295
AKAP13,0.00506782
COL18A1,0.005028935
PDIA4,0.004869347
RP11-83A24.2,0.004717709
RSRP1,0.0045289444
CD53,0.004521474
ASAH1,0.0044114823
CREG1,0.004256936
RAB11FIP1,0.0042405217
SLC7A8,0.0041072345
EIF4A2,0.00409298
ARPC3,0.003962041
RNF168,0.003958144
RP11-301G19.1,0.003945299
DAZAP2,0.003906285
GNAI2,0.0039058893
MLXIP,0.0038940685
TSC22D1,0.003864826
BCYRN1,0.003851522
GYPB,0.0038436016
DNAJB1,0.0038392437
NFE2,0.0038323663
LRRC16A,0.00381487
CLU,0.0037758294
VAMP8,0.0037662613
SLC25A37,0.0037297127
TUSC3,0.0037108234
HHEX,0.0036600041
UBB,0.0036581727
GRN,0.0036377956
COL2A1,0.0036136329
TXNIP,0.0035903107
TOR1AIP2,0.0035722142
HBZ,0.0035370127
GSTP1,0.0035269374
CALR,0.0035113397
PPP1R12A,0.003483307
NENF,0.003481549
CMTM6,0.0034616406
LEPROT,0.0034523946
NPM1,0.0034520891
UBE2L6,0.0034006687
IL6ST,0.0033988284
GYPA,0.0033729826
SLC3A2,0.0033526057
TPM1,0.0033462576
GMPPA,0.0033290023
MARCKSL1,0.0033039844
CD63,0.0032731357
FRG1,0.0032169824
CTSZ,0.0032051962
HLA-C,0.0031678881
PPP1CB,0.0031240825
HIST3H2A,0.0030972194
METTL9,0.0030755128
HERC2,0.002993564
PTPRS,0.0029887925
ANKRD10,0.0029835154
ATF4,0.0029535023
MAGED2,0.0029496918
CISH,0.002940452
PNRC1,0.0028952737
KLF1,0.002876029
MYL4,0.002858311
PITX1,0.0028409841
C1orf56,0.002828673
JADE1,0.0028260914
HNRNPH1,0.0028149164
PHB,0.0028016034
TRIM56,0.0027971517
MPC2,0.002760932
SAMSN1,0.0027568683
SPC24,0.0027413585
RP11-294J22.6,0.0027356881
